# Generated by luna-rs gen_sample_eeg
# sfreq=256 channels=22 duration=10s samples=2560
timestamp,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,T3-C3,C3-CZ,CZ-C4,C4-T4,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,A1-T3,T4-A2
0.000000000e0,-6.622408932e-7,1.654159547e-7,6.861026804e-7,1.486830797e-6,-2.806085035e-7,4.283623980e-7,-3.476753534e-7,-1.160262173e-6,9.928858447e-8,-1.988202740e-7,-6.286398957e-7,1.420280000e-6,-3.342443904e-7,-1.485143684e-6,2.454877688e-7,-3.893715643e-7,-1.153974907e-7,-8.354732017e-7,1.138958936e-7,1.093732294e-6,-9.388635931e-7,-5.725301548e-7
3.906250000e-3,9.487604075e-6,9.634588423e-6,1.072949453e-5,8.808599887e-6,8.946230992e-6,9.254754332e-6,9.467236850e-6,1.071735278e-5,1.217145109e-5,1.053832511e-5,1.146423347e-5,1.152617187e-5,1.088428235e-5,1.314572182e-5,1.369250458e-5,1.345584224e-5,1.214821987e-5,1.279761091e-5,1.364889795e-5,1.418777174e-5,1.233701823e-5,1.379660898e-5
7.812500000e-3,1.663029616e-5,1.584034180e-5,1.906091711e-5,1.799192978e-5,1.985650488e-5,2.019587919e-5,1.915647772e-5,1.860800330e-5,2.010999560e-5,2.063713146e-5,2.187543942e-5,2.001597750e-5,2.254044921e-5,2.147441410e-5,2.344080713e-5,2.090245107e-5,2.190454688e-5,2.415676863e-5,2.236862019e-5,2.224854870e-5,2.312381730e-5,2.331053838e-5
1.171875000e-2,2.196016248e-5,2.410630987e-5,2.401934580e-5,2.413529364e-5,2.353200580e-5,2.578944441e-5,2.465800571e-5,2.572865196e-5,2.671015318e-5,2.564790520e-5,2.788793790e-5,2.778503222e-5,2.689785833e-5,2.730492088e-5,2.925132321e-5,2.926221714e-5,2.904057328e-5,2.963107181e-5,2.873681296e-5,2.768819468e-5,2.862059227e-5,2.951286297e-5
1.562500000e-2,2.858135122e-5,2.767222941e-5,2.727367610e-5,2.752321961e-5,2.863834197e-5,2.854107152e-5,3.014435788e-5,2.848885561e-5,2.908532770e-5,3.022922465e-5,2.832346217e-5,2.836379281e-5,3.012209527e-5,3.011554509e-5,2.864970520e-5,2.966439570e-5,2.987267726e-5,2.813068568e-5,2.985345054e-5,2.873887388e-5,2.802494600e-5,2.894230784e-5
1.953125000e-2,3.116539665e-5,3.003187885e-5,3.007285159e-5,2.915775622e-5,2.880027932e-5,2.925699664e-5,2.919914186e-5,3.069544618e-5,3.020891745e-5,2.957577453e-5,3.023457248e-5,2.761029828e-5,2.724995284e-5,2.979124292e-5,2.920981569e-5,2.644757660e-5,2.604318070e-5,2.605457485e-5,2.664608655e-5,2.681011938e-5,2.664009116e-5,2.542854236e-5
2.343750000e-2,3.183826993e-5,2.928188769e-5,2.918056089e-5,3.103291237e-5,2.921103078e-5,2.799266804e-5,2.858630251e-5,2.719935219e-5,2.836196654e-5,2.729331572e-5,2.788747952e-5,2.711340676e-5,2.556693835e-5,2.721193232e-5,2.583762034e-5,2.543438859e-5,2.413582843e-5,2.363677231e-5,2.323566514e-5,2.336699072e-5,2.191228123e-5,2.197830509e-5
2.734375000e-2,3.028346146e-5,2.893916826e-5,3.023409045e-5,2.943673826e-5,2.921614760e-5,2.682787999e-5,2.742676224e-5,2.654824493e-5,2.643426888e-5,2.546341238e-5,2.480636795e-5,2.558117012e-5,2.429790038e-5,2.431934445e-5,2.391414637e-5,2.192759894e-5,2.208198566e-5,2.057107849e-5,2.291315650e-5,2.096151547e-5,2.156500705e-5,1.942384915e-5
3.125000000e-2,2.661247709e-5,2.684208994e-5,2.659389065e-5,2.696495358e-5,2.526017852e-5,2.452723857e-5,2.476300324e-5,2.312996367e-5,2.371658775e-5,2.381261584e-5,2.104090890e-5,2.143343409e-5,2.027753180e-5,2.150852197e-5,2.213607149e-5,1.933712156e-5,1.888803126e-5,1.865756894e-5,1.939781032e-5,1.844336839e-5,1.978163345e-5,1.771386269e-5
3.515625000e-2,2.476958616e-5,2.492986278e-5,2.534229134e-5,2.532603139e-5,2.470758591e-5,2.297633182e-5,2.328096707e-5,2.318493716e-5,2.016185681e-5,2.069374750e-5,1.934453758e-5,2.003444206e-5,1.827685082e-5,1.899358176e-5,1.967462231e-5,1.938046989e-5,1.594051537e-5,1.556160714e-5,1.640212940e-5,1.505664113e-5,1.439881089e-5,1.454265384e-5
3.906250000e-2,2.368484456e-5,2.262598719e-5,2.371855771e-5,2.174041583e-5,2.066353773e-5,2.099345875e-5,2.108208537e-5,1.946392877e-5,1.983380753e-5,1.755545236e-5,1.669660378e-5,1.756574420e-5,1.596581751e-5,1.616406735e-5,1.386053918e-5,1.476466423e-5,1.227717985e-5,1.165217509e-5,1.083794996e-5,7.777215615e-6,6.825375749e-6,3.880406439e-6
4.296875000e-2,2.290662269e-5,2.095549280e-5,2.129542190e-5,1.941315895e-5,1.825209074e-5,1.806075124e-5,1.952412640e-5,1.848416650e-5,1.777027501e-5,1.516396969e-5,1.342230280e-5,1.401541613e-5,1.252073616e-5,1.040419102e-5,8.761622666e-6,6.393279364e-6,6.415029020e-6,3.292921065e-6,2.574792916e-6,-1.262956289e-6,-2.164449597e-6,-3.113309958e-6
4.687500000e-2,1.862562931e-5,1.827464985e-5,1.699907625e-5,1.689519013e-5,1.638176946e-5,1.607887134e-5,1.351722494e-5,1.469329345e-5,1.126178631e-5,1.163528214e-5,8.086797607e-6,7.514036952e-6,5.831531325e-6,4.345918569e-6,1.286881457e-6,-3.644897220e-7,-2.774658697e-6,-4.746824288e-6,-4.801770956e-6,-6.438176115e-6,-9.374506590e-6,-1.025818165e-5
